Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,SILVA138_updated_classification,Name,Ecologically_relevant_classification,Ecologically_relevant_classification_aggregated,Ecologically_relevant_classification_aggregated_notes
805,OTU805,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,EU799189.1.1462,Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Nisaeaceae;OM75 clade;,g_OM75 clade,OM75 clade (Thalassobaculales),Alpha-other,
866,OTU866,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,EU799655.1.1454,Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Nisaeaceae;OM75 clade;,g_OM75 clade,OM75 clade (Thalassobaculales),Alpha-other,
692,OTU692,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,HQ671810.1.1467,Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Nisaeaceae;OM75 clade;,g_OM75 clade,OM75 clade (Thalassobaculales),Alpha-other,
1822,OTU1822,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Ponticaulis,JN233106.1.1375,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Ponticaulis;,g_Ponticaulis,Ponticaulis (Caulobacterales),Alpha-other,
3282,OTU3282,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobium,GQ274099.1.1475,,g_Rhodobium,Rhodobium (Rhizobiales),Alpha-other,
120,OTU120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,EU237468.1.1312,,g_uncultured,Rhodospirillaceae,Alpha-other,
1554,OTU1554,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,DQ396014.1.1476,,g_uncultured,Rhodospirillaceae,Alpha-other,
358,OTU358,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,AB193901.1.1435,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;,f_S25-593,Rickettsiales,Alpha-other,
418,OTU418,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EF572151.1.1467,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;,f_S25-593,Rickettsiales,Alpha-other,
338,OTU338,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EF572745.1.1469,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;,f_S25-593,Rickettsiales,Alpha-other,
382,OTU382,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EF574651.1.1468,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;,f_S25-593,Rickettsiales,Alpha-other,
