"","Domain","Phylum","Class","Order","Family","Genus","OTU.rep"
"OTU60","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU237344.1.1311"
"OTU59","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS2b marine group","FQ032828.26868.28381"
"OTU11","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","FJ745117.1.1319"
"OTU20","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EF572127.1.1520"
"OTU16","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","GQ348500.1.1314"
"OTU29","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","DQ299286.1.1392"
"OTU65","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802420.1.1442"
"OTU197","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AY664083.1.1206"
"OTU335","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","EF573025.1.1502"
"OTU10","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU940771.1.1349"
"OTU27","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802362.1.1310"
"OTU1001","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","FQ032830.13921.15433"
"OTU136","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","DQ009159.1.1986"
"OTU23","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802280.1.1361"
"OTU70","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AY664234.1.1252"
"OTU202","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664105.1.1226"
"OTU30","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","AACY020487638.121.1594"
"OTU14","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802283.1.1251"
"OTU40","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU940743.1.1341"
"OTU42","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802641.1.1377"
"OTU34","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","KC001946.1.1313"
"OTU61","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","JN547444.1.1442"
"OTU49","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EF572791.1.1441"
"OTU130","Bacteria","Chloroflexi","SAR202 clade","","","","AY907820.1.1458"
"OTU139","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802498.1.1435"
"OTU35","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802424.1.1247"
"OTU84","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664135.1.1215"
"OTU224","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 4","","HQ673137.1.1450"
"OTU45","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ163443.1.1344"
"OTU80","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802541.1.1287"
"OTU67","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","JX945367.1.1372"
"OTU134","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 4","","DQ009277.1.1996"
"OTU47","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU800727.1.1251"
"OTU73","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EU802548.1.1445"
"OTU209","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","FJ745198.1.1365"
"OTU63","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","EF571939.1.1526"
"OTU100","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Sufflavibacter","EU802798.1.1422"
"OTU125","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EU803186.1.1437"
"OTU50","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU803117.1.1251"
"OTU150","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 4","","EF571926.1.1454"
"OTU44","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ216327.1.1233"
"OTU64","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GQ349089.1.1337"
"OTU195","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanobacter","EF574264.1.1492"
"OTU976","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","AACY020548802.136.1646"
"OTU51","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","FJ745080.1.1326"
"OTU94","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","EU805091.1.1526"
"OTU293","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","JX945345.1.1443"
"OTU233","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EF574663.1.1445"
"OTU43","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","JX945349.1.1357"
"OTU55","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU940846.1.1513"
"OTU97","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU800517.1.1373"
"OTU221","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ242373.1.1521"
"OTU115","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802636.1.1362"
"OTU79","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","FJ744916.1.1319"
"OTU76","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ163158.1.1317"
"OTU114","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","GU235302.1.1328"
"OTU75","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802929.1.1358"
"OTU184","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802865.1.1431"
"OTU420","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU801209.1.1437"
"OTU72","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU801992.1.1230"
"OTU86","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EF573597.1.1440"
"OTU455","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","JN177586.1.1440"
"OTU245","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 4","","EF572648.1.1451"
"OTU95","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","EU800927.1.1359"
"OTU78","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","EU801696.1.1459"
"OTU133","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudospirillum","AACY023938218.20.1535"
"OTU137","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EU803056.1.1370"
"OTU88","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ163743.1.1324"
"OTU68","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","EF574411.1.1527"
"OTU220","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AACY020398456.2130.3630"
"OTU235","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AACY020255495.903.2404"
"OTU85","Bacteria","Proteobacteria","ARKICE-90","","","","JN832930.1.1413"
"OTU429","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802835.1.1505"
"OTU1230","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU799228.1.1501"
"OTU325","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","FN435231.1.1514"
"OTU148","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","FJ744908.1.1331"
"OTU103","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GQ346891.1.1321"
"OTU276","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU800581.1.1375"
"OTU744","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU801664.1.1461"
"OTU152","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","JX017005.1.1403"
"OTU486","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","FJ745180.1.1374"
"OTU146","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","EU802844.1.1359"
"OTU363","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","JX016471.1.1438"
"OTU169","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EF572587.1.1496"
"OTU345","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","NS9 marine group","","EF646132.1.1480"
"OTU229","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","FJ745251.1.1308"
"OTU466","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","JX206777.1.1466"
"OTU93","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EF571982.1.1487"
"OTU140","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU801193.1.1360"
"OTU324","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU268116.1.1462"
"OTU179","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EF574241.1.1490"
"OTU194","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU799628.1.1361"
"OTU424","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter clade OCT lineage","FJ545507.1.1456"
"OTU439","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","EU800729.1.1446"
"OTU2610","Bacteria","Verrucomicrobia","OPB35 soil group","","","","FJ628330.1.1527"
"OTU278","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU237402.1.1311"
"OTU441","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU800350.1.1365"
"OTU83","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","L10934.1.1298"
"OTU172","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","AM747314.1.1270"
"OTU387","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","GU061386.1.1471"
"OTU691","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EU803092.1.1447"
"OTU25","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","DQ009453.1.1963"
"OTU144","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","FJ744817.1.1308"
"OTU109","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU802529.1.1481"
"OTU299","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU804538.1.1487"
"OTU82","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","GQ377772.1.1269"
"OTU131","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ242620.1.1275"
"OTU117","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU235638.1.1322"
"OTU164","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU235451.1.1318"
"OTU419","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","EU799106.1.1438"
"OTU127","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664012.1.1253"
"OTU231","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU268068.1.1427"
"OTU175","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","","FJ745032.1.1322"
"OTU168","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EU802960.1.1455"
"OTU177","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802971.1.1498"
"OTU217","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GQ346815.1.1325"
"OTU291","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","JN233157.1.1397"
"OTU399","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Chesapeake-Delaware Bay","","EU801050.1.1438"
"OTU710","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AACY020518560.687.2227"
"OTU1707","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU799850.1.1450"
"OTU423","Bacteria","Proteobacteria","Deltaproteobacteria","Sh765B-TzT-29","","","EF573230.1.1478"
"OTU922","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802522.1.1450"
"OTU741","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU801445.1.1438"
"OTU1848","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","EU800188.1.1480"
"OTU1022","Bacteria","Bacteroidetes","Cytophagia","Order III Incertae Sedis","Family Incertae Sedis","Balneola","HM057801.1.1519"
"OTU206","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EF572922.1.1449"
"OTU474","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","","EU805000.1.1468"
"OTU1279","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GU940987.1.1428"
"OTU154","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU800666.1.1372"
"OTU119","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Chesapeake-Delaware Bay","","EU800201.1.1303"
"OTU384","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AF098371.1.1444"
"OTU15","Archaea","Thaumarchaeota","Marine Group I","","","","U40238.31654.33126"
"OTU1616","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured","FJ545589.1.1505"
"OTU37","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417 marine group","AACY020565564.130.1652"
"OTU805","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","OM75 clade","EU799189.1.1462"
"OTU692","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","OM75 clade","HQ671810.1.1467"
"OTU520","Bacteria","Proteobacteria","Gammaproteobacteria","E01-9C-26 marine group","","","JF747664.1.1516"
"OTU108","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802539.1.1352"
"OTU92","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664211.1.1287"
"OTU1094","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ672069.1.1486"
"OTU327","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802790.1.1266"
"OTU950","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","HM129439.1.1414"
"OTU77","Archaea","Thaumarchaeota","Marine Group I","","","","JQ224996.1.1347"
"OTU56","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","AACY020396101.1882.3388"
"OTU282","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","NS9 marine group","","GU230411.1.1482"
"OTU478","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured","EF574734.1.1477"
"OTU866","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","OM75 clade","EU799655.1.1454"
"OTU1078","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","","DQ269094.1.1345"
"OTU116","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","JN547438.1.1447"
"OTU590","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","JQ062792.1.1431"
"OTU346","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802515.1.1370"
"OTU1119","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","HQ671769.1.1436"
"OTU126","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","","GU940773.1.1334"
"OTU342","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","KC003178.1.1230"
"OTU1723","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix","EU799269.1.1451"
"OTU1698","Bacteria","Chloroflexi","SAR202 clade","","","","HQ671908.1.1429"
"OTU548","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","JX945359.1.1444"
"OTU236","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","FN433348.1.1495"
"OTU524","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","","","EU799585.1.1456"
"OTU852","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira","JN018991.1.1360"
"OTU452","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EF575193.1.1476"
"OTU1011","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HM057716.1.1496"
"OTU862","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","EF016474.1.1494"
"OTU491","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","FJ999606.1.1357"
"OTU643","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","marine group","EF575015.1.1520"
"OTU705","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AACY020393406.361.1862"
"OTU1196","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EU799247.1.1450"
"OTU270","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","HQ671905.1.1452"
"OTU1317","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EU268101.1.1448"
"OTU1133","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","JQ062860.1.1445"
"OTU157","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY663941.1.1275"
"OTU2033","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Candidatus Branchiomonas","JQ062722.1.1500"
"OTU530","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EF573781.1.1448"
"OTU244","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802272.1.1376"
"OTU237","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664000.1.1252"
"OTU178","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EF572892.1.1439"
"OTU1025","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EU795184.7277.8739"
"OTU1999","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","EU799222.1.1502"
"OTU1408","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","OM60(NOR5) clade","GU474844.39782.41307"
"OTU653","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802562.1.1451"
"OTU52","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU941067.1.1343"
"OTU122","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AY664073.1.1228"
"OTU3265","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Cohaesibacter","AACY020536637.961.2423"
"OTU1029","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade","","","FJ545538.1.1526"
"OTU201","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 3","","DQ009161.1.1974"
"OTU149","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802480.1.1262"
"OTU379","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","KC003238.1.1354"
"OTU415","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802678.1.1443"
"OTU251","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802279.1.1371"
"OTU480","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","AACY020556376.977.2486"
"OTU312","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","FJ744956.1.1371"
"OTU243","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU805212.1.1439"
"OTU230","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802794.1.1441"
"OTU1073","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Owenweeksia","AACY020259437.2024.3522"
"OTU228","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU803007.1.1326"
"OTU390","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU803152.1.1452"
"OTU218","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","AACY020431964.3244.4753"
"OTU1314","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Coraliomargarita","EU805065.1.1518"
"OTU344","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","GQ349357.1.1386"
"OTU1302","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","EU800869.1.1427"
"OTU479","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Owenweeksia","FJ745176.1.1372"
"OTU720","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","GU940989.1.1358"
"OTU204","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802684.1.1366"
"OTU91","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EF574990.1.1439"
"OTU81","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU803052.1.1425"
"OTU111","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","JX945354.1.1385"
"OTU89","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EU802874.1.1450"
"OTU163","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU804864.1.1440"
"OTU181","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802905.1.1437"
"OTU173","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802700.1.1447"
"OTU26","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AACY020562322.3851.5364"
"OTU110","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU237319.1.1311"
"OTU189","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU803160.1.1450"
"OTU36","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EF572710.1.1498"
"OTU362","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","NS9 marine group","","FQ032825.6410.7925"
"OTU158","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802391.1.1436"
"OTU166","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EU802460.1.1406"
"OTU187","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802840.1.1440"
"OTU330","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY663890.1.1225"
"OTU332","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU803123.1.1448"
"OTU198","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EF574440.1.1446"
"OTU239","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802915.1.1434"
"OTU382","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","","EF574651.1.1468"
"OTU274","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU803176.1.1376"
"OTU328","Bacteria","Proteobacteria","Gammaproteobacteria","Order Incertae Sedis","Family Incertae Sedis","Marinicella","EU010164.1.1471"
"OTU128","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AACY020207233.1273.2814"
"OTU315","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664136.1.1218"
"OTU641","Bacteria","Chloroflexi","SAR202 clade","","","","AY534099.1.1476"
"OTU74","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","AB193978.1.1441"
"OTU171","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","DQ156348.18592.20063"
